state,named_kk,kk_key,kk_id,match_method,candidates,alias_reason,matched_kk_name,matched_hf_code,matched_latitude,matched_longitude
SARAWAK,KK TATAU,TATAU,K0524,exact normalized name,NA,NA,Klinik Kesihatan Tatau,21-13310214,2.88134,112.85431
SARAWAK,KK SEKUAU,SEKUAU,K0469,exact normalized name,NA,NA,Klinik Kesihatan Sekuau,21-13250149,2.351784,112.128064
SARAWAK,KK MACHAN,MACHAN,K0355,exact normalized name,NA,NA,Klinik Kesihatan Machan,21-13090121,2.01494,112.02013
SARAWAK,PKD KANOWIT,PKDKANOWIT,NA,unmatched,K0288 Klinik Kesihatan Kapit; K0424 Klinik Kesihatan Pa' Dallih; K0426 Klinik Kesihatan Padawan,NA,NA,NA,NA,NA
SARAWAK,KK MENALUN,MENALUN,K0409,documented name alias,NA,Menalun explicitly appears as alternative name in KK register,Klinik Kesihatan Nanga Poi (Menalun),21-13090148,2.033117,112.261047
SARAWAK,KK NANGA JAGAU,NANGAJAGAU,K0396,exact normalized name,NA,NA,Klinik Kesihatan Nanga Jagau,21-13090159,1.8596,112.30601
SARAWAK,KK KAPIT,KAPIT,K0288,exact normalized name,NA,NA,Klinik Kesihatan Kapit,21-13100081,2.01164,112.92896
SARAWAK,KK BELAGA,BELAGA,K0196,exact normalized name,NA,NA,Klinik Kesihatan Belaga,21-13030058,2.70662,113.78298
SARAWAK,KK TUBAU,TUBAU,K0547,exact normalized name,NA,NA,Klinik Kesihatan Tubau,21-13400224,3.160199,113.701678
SARAWAK,KK SEBAUH,SEBAUH,K0465,exact normalized name,NA,NA,Klinik Kesihatan Sebauh,21-13400184,3.11049,113.26816
SARAWAK,KK SUNGAI ASAP,SUNGAIASAP,K0505,exact normalized name,NA,NA,Klinik Kesihatan Sungai Asap,21-13030206,3.04448,113.915865
SARAWAK,KK BARIO,BARIO,K0185,exact normalized name,NA,NA,Klinik Kesihatan Bario,21-13190047,3.74052,115.46723
SARAWAK,KK LONG LELLANG,LONGLELLANG,K0337,exact normalized name,NA,NA,Klinik Kesihatan Long Lellang,21-13190102,3.420979,115.153885
SARAWAK,KK LONG BEDIAN,LONGBEDIAN,K0329,exact normalized name,NA,NA,Klinik Kesihatan Long Bedian,21-13380098,3.794918,114.732075
SARAWAK,KK LIO MATO,LIOMATO,K0326,exact normalized name,NA,NA,Klinik Kesihatan Lio Mato,21-13380110,3.169665,115.221629
SARAWAK,KK PA DALIH,PADALIH,K0424,documented name alias,NA,Spelling and punctuation variant,Klinik Kesihatan Pa' Dallih,21-13190255,3.567309,115.553627
SARAWAK,KK LONG MOH,LONGMOH,K0340,exact normalized name,NA,NA,Klinik Kesihatan Long Moh,21-13380347,3.056713,115.076194
SARAWAK,KK LONG BANGA,LONGBANGA,K0328,exact normalized name,NA,NA,Klinik Kesihatan Long Banga,21-13190111,3.20551,115.39137
SARAWAK,KK LONG JEKITAN,LONGJEKITAN,K0334,exact normalized name,NA,NA,Klinik Kesihatan Long Jekitan,21-13380395,3.263121,114.859131
SARAWAK,KK LONG JEEH,LONGJEEH,K0332,exact normalized name,NA,NA,Klinik Kesihatan Long Jeeh,21-13380099,2.98311,114.95786
SARAWAK,KK LONG LAMA,LONGLAMA,K0336,exact normalized name,NA,NA,Klinik Kesihatan Long Lama,21-13380113,3.762499,114.405176
SARAWAK,KK LONG SAN,LONGSAN,K0345,exact normalized name,NA,NA,Klinik Kesihatan Long San,21-13380107,3.29568,114.78221
SARAWAK,KK LONG LOYANG,LONGLOYANG,K0338,exact normalized name,NA,NA,Klinik Kesihatan Long Loyang,21-13370114,3.448402,114.116675
SARAWAK,KK LONG SERIDAN,LONGSERIDAN,K0347,exact normalized name,NA,NA,Klinik Kesihatan Long Seridan,21-13190348,3.973911,115.069158
SARAWAK,KK LONG SEMADOH,LONGSEMADOH,K0346,exact normalized name,NA,NA,Klinik Kesihatan Long Semadoh,21-13120115,4.215724,115.589957
SARAWAK,PKB LIMBANG,PKBLIMBANG,NA,unmatched,K0318 Klinik Kesihatan Labang; K0539 Klinik Kesihatan Tg.Embang; K0190 Klinik Kesihatan Batu Lintang,NA,NA,NA,NA,NA
SABAH,NA,NA,NA,missing named KK,NA,NA,NA,NA,NA,NA
