fds_id,fds_name,state,previous_nadi,previous_km,nearest_nadi,nearest_nadi_status,sf_km,independent_haversine_km,sf_haversine_error_metres,old_script_reproduced_nadi,old_script_reproduced_km,old_export_reproduction_error_km,difference_from_old_km,nearest_open_nadi,nearest_open_km
F022,RH. GAYUT (RH NGILAH),SARAWAK,Song,32.26,Song,OPEN,32.221470836342704,32.22147083634282,1.1368683772161603e-10,Song,32.257515737018004,0.002484262981994334,-0.03852916365729442,Song,32.221470836342704
F023,NANGA ARAU,SARAWAK,Song,33.19,Song,OPEN,33.157413247581935,33.15741324758195,1.4210854715202004e-11,Song,33.19450515046949,0.0045051504694910705,-0.032586752418062304,Song,33.157413247581935
F024,( + RH BALANG ),SARAWAK,Song,33.19,Song,OPEN,33.157413247581935,33.15741324758195,1.4210854715202004e-11,Song,33.19450515046949,0.0045051504694910705,-0.032586752418062304,Song,33.157413247581935
F025,( + RH SADOM ),SARAWAK,Song,33.19,Song,OPEN,33.157413247581935,33.15741324758195,1.4210854715202004e-11,Song,33.19450515046949,0.0045051504694910705,-0.032586752418062304,Song,33.157413247581935
F026,RH ANSI,SARAWAK,Balingian,16.42,Balingian,OPEN,16.39830806905985,16.39830806905994,8.881784197001252e-11,Balingian,16.4166522156879,0.003347784312101254,-0.021691930940150428,Balingian,16.39830806905985
F027,RH. ASUN,SARAWAK,Tamin,32.19,Tamin,OPEN,32.15045132875966,32.150451328759665,7.105427357601002e-12,Tamin,32.18641678268613,0.0035832173138672374,-0.03954867124033967,Tamin,32.15045132875966
F028,RH. SELIAU,SARAWAK,Kg Nanga Tada,22.36,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,22.253863008253948,5.6843418860808015e-11,Kg Nanga Tada,22.364822022768273,0.004822022768273371,-0.10613699174599489,Kg Nanga Tada,22.253863008254005
F029,( + RH PENGUANG ),SARAWAK,Kg Nanga Tada,22.36,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,22.253863008253948,5.6843418860808015e-11,Kg Nanga Tada,22.364822022768273,0.004822022768273371,-0.10613699174599489,Kg Nanga Tada,22.253863008254005
F030,( + RH SEMUKAU ),SARAWAK,Kg Nanga Tada,22.36,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,22.253863008253948,5.6843418860808015e-11,Kg Nanga Tada,22.364822022768273,0.004822022768273371,-0.10613699174599489,Kg Nanga Tada,22.253863008254005
F031,RH. KIROH,SARAWAK,Kg Muhibbah,14.3,Kg Muhibbah,OPEN,14.27915044230767,14.279150442307616,5.3290705182007514e-11,Kg Muhibbah,14.295123970084584,0.004876029915417135,-0.020849557692331544,Kg Muhibbah,14.27915044230767
F032,RH. ENJAH,SARAWAK,Kg Muhibbah,13.28,Kg Muhibbah,OPEN,13.264505781211641,13.264505781211327,3.1441516057384433e-10,Kg Muhibbah,13.279344265643573,0.0006557343564264073,-0.015494218788358438,Kg Muhibbah,13.264505781211641
F033,"RH. ENGKAYAU, ULU MACHAN",SARAWAK,Machan,11.41,Machan,OPEN,11.393522474496947,11.393522474496917,3.019806626980426e-11,Machan,11.406267962994932,0.0037320370050686336,-0.016477525503052703,Machan,11.393522474496947
F034,( + RH MANILLA ),SARAWAK,Machan,11.41,Machan,OPEN,11.393522474496947,11.393522474496917,3.019806626980426e-11,Machan,11.406267962994932,0.0037320370050686336,-0.016477525503052703,Machan,11.393522474496947
F035,( + RH UBONG ),SARAWAK,Machan,11.41,Machan,OPEN,11.393522474496947,11.393522474496917,3.019806626980426e-11,Machan,11.406267962994932,0.0037320370050686336,-0.016477525503052703,Machan,11.393522474496947
F036,RH. JANTING,SARAWAK,Rumah Benjamin,19.12,Rumah Benjamin,OPEN,19.100972893757454,19.100972893757522,6.750155989720952e-11,Rumah Benjamin,19.12234040594378,0.002340405943780155,-0.019027106242546665,Rumah Benjamin,19.100972893757454
F037,( + RH TIGONG ),SARAWAK,Rumah Benjamin,19.12,Rumah Benjamin,OPEN,19.100972893757454,19.100972893757522,6.750155989720952e-11,Rumah Benjamin,19.12234040594378,0.002340405943780155,-0.019027106242546665,Rumah Benjamin,19.100972893757454
F038,( + RH ANTAS ),SARAWAK,Rumah Benjamin,19.12,Rumah Benjamin,OPEN,19.100972893757454,19.100972893757522,6.750155989720952e-11,Rumah Benjamin,19.12234040594378,0.002340405943780155,-0.019027106242546665,Rumah Benjamin,19.100972893757454
F039,RH. UNJAU POI,SARAWAK,Rumah Benjamin,20.3,Rumah Benjamin,OPEN,20.275661422196666,20.275661422196862,1.9539925233402755e-10,Rumah Benjamin,20.298343012550042,0.001656987449958791,-0.02433857780333426,Rumah Benjamin,20.275661422196666
F040,"RH. JARAU, JAGAU",SARAWAK,Nanga Ngungun,20.65,Nanga Ngungun,OPEN,20.629905839223277,20.629905839223223,5.3290705182007514e-11,Nanga Ngungun,20.652983708966975,0.002983708966976195,-0.020094160776721992,Nanga Ngungun,20.629905839223277
F041,( + RH SALANG ),SARAWAK,Nanga Ngungun,20.65,Nanga Ngungun,OPEN,20.629905839223277,20.629905839223223,5.3290705182007514e-11,Nanga Ngungun,20.652983708966975,0.002983708966976195,-0.020094160776721992,Nanga Ngungun,20.629905839223277
F042,( + RH MANGGAL ),SARAWAK,Nanga Ngungun,20.65,Nanga Ngungun,OPEN,20.629905839223277,20.629905839223223,5.3290705182007514e-11,Nanga Ngungun,20.652983708966975,0.002983708966976195,-0.020094160776721992,Nanga Ngungun,20.629905839223277
F043,"RH. NUGA, SG. SEMUNJAN",SARAWAK,Pekan Kapit,14.52,Pekan Kapit,OPEN,14.501776807213043,14.50177680721272,3.232969447708456e-10,Pekan Kapit,14.517999378407083,0.002000621592916474,-0.018223192786956943,Pekan Kapit,14.501776807213043
F044,"RH. MANILA, SG. SEMUNJAN",SARAWAK,Pekan Kapit,13.54,Pekan Kapit,OPEN,13.524597169962327,13.524597169962309,1.7763568394002505e-11,Pekan Kapit,13.53972660847054,0.00027339152945948797,-0.015402830037672288,Pekan Kapit,13.524597169962327
F045,"RH. LIUN, IBAU",SARAWAK,Song,19.36,Song,OPEN,19.339786362315472,19.33978636231543,4.263256414560601e-11,Song,19.36142102579959,0.0014210257995905806,-0.02021363768452744,Song,19.339786362315472
F046,"RH. MESSOP, IBAU",SARAWAK,Song,15.96,Song,OPEN,15.943557791401016,15.943557791400883,1.3322676295501878e-10,Song,15.961393226658293,0.0013932266582923347,-0.01644220859898482,Song,15.943557791401016
F047,"RH. BERANGAN, SG IRAN PELAGUS",SARAWAK,Pekan Kapit,26.98,Pekan Kapit,OPEN,26.95233363280323,26.952333632803224,7.105427357601002e-12,Pekan Kapit,26.982484155530546,0.0024841555305457064,-0.02766636719676896,Pekan Kapit,26.95233363280323
F048,"RH. SARI, SG IRAN SONG",SARAWAK,Kg Nanga Tada,8.3,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",8.496359099739024,8.496359099739083,5.861977570020827e-11,Kg Nanga Tada,8.301733800545213,0.0017338005452121052,0.19635909973902343,Kg Nanga Tada,8.496359099739024
F049,RH. AJAN LONG SINGUT,SARAWAK,Pekan Tunoh,98.61,Pekan Tunoh,OPEN,98.50429851557324,98.50429851557332,8.526512829121202e-11,Pekan Tunoh,98.61449142619823,0.00449142619822851,-0.10570148442675986,Pekan Tunoh,98.50429851557324
F050,"RH. ACHAU, SG JANAN TEKALIT",SARAWAK,Sungai Pelajau,16.51,Sungai Pelajau,OPEN,16.488080047847742,16.488080047847994,2.5224267119483557e-10,Sungai Pelajau,16.506524618881635,0.0034753811183669825,-0.021919952152259725,Sungai Pelajau,16.488080047847742
F051,"RH. LAYANG, SG AYAT BANGKIT",SARAWAK,Sungai Melekun,31.64,Sungai Melekun,OPEN,31.604782810422286,31.60478281042212,1.6697754290362354e-10,Sungai Melekun,31.640137846293964,0.0001378462939634062,-0.03521718957771469,Sungai Melekun,31.604782810422286
F052,"RH. AI ANAK JALIN, SG. ENTAWAU, BENA, BALLEH",SARAWAK,Sungai Melekun,22.88,Sungai Melekun,OPEN,22.856127550544414,22.856127550544393,2.1316282072803006e-11,Sungai Melekun,22.881695807548027,0.0016958075480282275,-0.023872449455584643,Sungai Melekun,22.856127550544414
F053,LONG BIYAK,SARAWAK,Pekan Belaga,31.98,Pekan Belaga,OPEN,31.944891561204056,31.944891561203814,2.4158453015843406e-10,Pekan Belaga,31.980627063448622,0.0006270634486220672,-0.03510843879594461,Pekan Belaga,31.944891561204056
F054,"RH. DRICK, JELALONG, TUBAU",SARAWAK,Sungai Asap,18.64,Sungai Asap,OPEN,18.615026474882818,18.61502647488278,3.907985046680551e-11,Sungai Asap,18.63585037779401,0.0041496222059898,-0.02497352511718276,Sungai Asap,18.615026474882818
F055,"RH. AMIT, TUBAU /FELIX",SARAWAK,Sungai Asap,30.53,Sungai Asap,OPEN,30.49112980460859,30.49112980460859,0.0,Sungai Asap,30.525239040368298,0.004760959631703088,-0.03887019539141079,Sungai Asap,30.49112980460859
F056,"RH. ROBERT, KAKUS",SARAWAK,Pekan Belaga,50.11,Pekan Belaga,OPEN,50.05165203006053,50.051652030060495,3.552713678800501e-11,Pekan Belaga,50.10764285789129,0.0023571421087069666,-0.05834796993946867,Pekan Belaga,50.05165203006053
F057,"RH RENANG, SIGU",SARAWAK,Pekan Belaga,36.41,Pekan Belaga,OPEN,36.36634379049592,36.36634379049588,3.552713678800501e-11,Pekan Belaga,36.40702539862315,0.0029746013768487956,-0.04365620950407845,Pekan Belaga,36.36634379049592
F058,"RH JALING, SIGU",SARAWAK,Pekan Belaga,37.26,Pekan Belaga,OPEN,37.22133166727187,37.22133166727186,7.105427357601002e-12,Pekan Belaga,37.262969716936304,0.0029697169363060993,-0.038668332728128973,Pekan Belaga,37.22133166727187
F059,LONG UNAI,SARAWAK,Pekan Tunoh,116.06,Pekan Tunoh,OPEN,115.92632454212352,115.92632454212337,1.5631940186722204e-10,Pekan Tunoh,116.0560067926632,0.003993207336804971,-0.13367545787647828,Pekan Tunoh,115.92632454212352
F060,SANG ANAU,SARAWAK,Pekan Tunoh,40.4,Pekan Tunoh,OPEN,40.35332666417004,40.35332666417015,1.0658141036401503e-10,Pekan Tunoh,40.39846835428452,0.0015316457154810337,-0.04667333582995781,Pekan Tunoh,40.35332666417004
F061,BATU KELING,SARAWAK,Pekan Tunoh,34.04,Pekan Tunoh,OPEN,34.00687613528114,34.006876135281,1.4210854715202004e-10,Pekan Tunoh,34.04491829911627,0.004918299116269509,-0.03312386471885986,Pekan Tunoh,34.00687613528114
F062,LONG JAWE,SARAWAK,Pekan Kapit,27.35,Pekan Kapit,OPEN,27.319500168369853,27.319500168369835,1.7763568394002505e-11,Pekan Kapit,27.350061425956934,6.142595693248154e-05,-0.030499831630148577,Pekan Kapit,27.319500168369853
F063,LONG KEBUHO,SARAWAK,Bawang Assan,7.58,Bawang Assan,OPEN,7.571440493988751,7.571440493988927,1.758593271006248e-10,Bawang Assan,7.579910368687077,8.963131292283322e-05,-0.008559506011248885,Bawang Assan,7.571440493988751
F064,LONG TANYIT,SARAWAK,Pekan Belaga,93.48,Pekan Belaga,OPEN,93.37863099565017,93.3786309956502,2.8421709430404007e-11,Pekan Belaga,93.4830900222576,0.0030900222575951375,-0.10136900434983431,Pekan Belaga,93.37863099565017
F065,PUNAN BUSANG,SARAWAK,Pekan Belaga,34.63,Pekan Belaga,OPEN,34.58880634267023,34.58880634267029,5.6843418860808015e-11,Pekan Belaga,34.62749948909514,0.0025005109048592544,-0.04119365732977087,Pekan Belaga,34.58880634267023
F066,LUSONG LAKU,SARAWAK,Pekan Belaga,57.74,Pekan Belaga,OPEN,57.676555485505574,57.67655548550535,2.2737367544323206e-10,Pekan Belaga,57.74107599496071,0.0010759949607077601,-0.063444514494428,Pekan Belaga,57.676555485505574
F067,LONG KAJANG,SARAWAK,Pekan Belaga,89.24,Pekan Belaga,OPEN,89.143412131243565,89.14341213124361,4.263256414560601e-11,Pekan Belaga,89.24313338395854,0.003133383958541458,-0.09658786875642988,Pekan Belaga,89.143412131243565
F068,LONG ABIT,SARAWAK,Pekan Belaga,80.66,Pekan Belaga,OPEN,80.57042723905818,80.57042723905819,1.4210854715202004e-11,Pekan Belaga,80.6605582284826,0.0005582284826033401,-0.0895727609418202,Pekan Belaga,80.57042723905818
F069,PA' TIK,SARAWAK,Bario,20.45,Bario,OPEN,20.426911556742763,20.42691155674276,3.552713678800501e-12,Bario,20.44976234471278,0.00023765528721853002,-0.02308844325723669,Bario,20.426911556742763
F070,LONG SABAI,SARAWAK,Long Banga (Long Beruang),34.42,Long Banga (Long Beruang),UNDER RELOCATION,34.382769828360125,34.382769828360225,9.947598300641403e-11,Long Banga (Long Beruang),34.421232489785446,0.001232489785444102,-0.03723017163987663,Bario,38.609268037501046
F071,LONG KELIAN,SARAWAK,Long Banga (Long Beruang),42.36,Long Banga (Long Beruang),UNDER RELOCATION,42.30868926328104,42.30868926328125,2.1316282072803006e-10,Long Banga (Long Beruang),42.35601834114794,0.003981658852062253,-0.05131073671896047,Long Bedian,57.23558407153091
F072,TANJONG DURIAN,SARAWAK,Long Bedian,24.94,Long Bedian,OPEN,24.91710977561635,24.917109775616556,2.0605739337042905e-10,Long Bedian,24.944983572921977,0.004983572921975821,-0.022890224383651514,Long Bedian,24.91710977561635
F073,LONG SAIT,SARAWAK,Long Banga (Long Beruang),25.02,Long Banga (Long Beruang),UNDER RELOCATION,24.99280992680047,24.992809926800426,4.263256414560601e-11,Long Banga (Long Beruang),25.020768406907706,0.0007684069077065203,-0.02719007319953093,Bario,56.96487184139308
F074,RAMUDU,SARAWAK,Bario,24.15,Bario,OPEN,24.119564363412923,24.11956436341299,6.750155989720952e-11,Bario,24.14654597782233,0.0034540221776673263,-0.030435636587075265,Bario,24.119564363412923
F075,BA' AJENG,SARAWAK,Long Banga (Long Beruang),42.42,Long Banga (Long Beruang),UNDER RELOCATION,42.37047971943188,42.370479719431906,2.8421709430404007e-11,Long Banga (Long Beruang),42.417877919868,0.0021220801320041005,-0.04952028056812452,Long Bedian,75.34354611062841
F076,BA' LAMAM,SARAWAK,Long Banga (Long Beruang),41.55,Long Banga (Long Beruang),UNDER RELOCATION,41.5019590044479,41.50195900444792,2.1316282072803006e-11,Long Banga (Long Beruang),41.5483856246894,0.001614375310595051,-0.04804099555209973,Long Bedian,73.13092865892806
F077,LONG LAMAI,SARAWAK,Long Banga (Long Beruang),3.61,Long Banga (Long Beruang),UNDER RELOCATION,3.6066204856598136,3.606620485659807,6.661338147750939e-12,Long Banga (Long Beruang),3.610655071102507,0.0006550711025070655,-0.0033795143401862404,Bario,63.73509239165346
F078,LONG KERONG,SARAWAK,Long Banga (Long Beruang),22.05,Long Banga (Long Beruang),UNDER RELOCATION,22.029692047696006,22.029692047696003,3.552713678800501e-12,Long Banga (Long Beruang),22.05433580358776,0.004335803587760978,-0.020307952303994625,Bario,57.72205297826321
F079,BA' PURAU,SARAWAK,Long Banga (Long Beruang),69.47,Long Banga (Long Beruang),UNDER RELOCATION,69.38802352123277,69.38802352123278,1.4210854715202004e-11,Long Banga (Long Beruang),69.46564519246479,0.004354807535207783,-0.08197647876723124,Long Bedian,115.98914528748321
F080,LONG PALAI,SARAWAK,Long Banga (Long Beruang),62.91,Long Banga (Long Beruang),UNDER RELOCATION,62.840556799885405,62.84055679988584,4.334310688136611e-10,Long Banga (Long Beruang),62.910854075877054,0.0008540758770578805,-0.06944320011459126,Long Bedian,84.51760790313318
F081,LONG TEBANGAN,SARAWAK,Long Bedian,51.24,Long Bedian,OPEN,51.179714331098495,51.179714331098566,7.105427357601002e-11,Long Bedian,51.23696707815716,0.003032921842844871,-0.060285668901506995,Long Bedian,51.179714331098495
F082,BA' ABANG,SARAWAK,Long Bedian,47.25,Long Bedian,OPEN,47.19702979883827,47.197029798838365,9.237055564881302e-11,Long Bedian,47.24982727229647,0.0001727277035286079,-0.05297020116172746,Long Bedian,47.19702979883827
F083,BA' ITAM,SARAWAK,Long Bedian,36.69,Long Bedian,OPEN,36.64579537290263,36.645795372902725,9.237055564881302e-11,Long Bedian,36.6867895925983,0.0032104074016956474,-0.044204627097364835,Long Bedian,36.64579537290263
F084,LONG LIAU,SARAWAK,Sungai Asap,57.52,Sungai Asap,OPEN,57.45727339940664,57.45727339940637,2.7000623958883807e-10,Sungai Asap,57.52154860655838,0.0015486065583800723,-0.06272660059336488,Sungai Asap,57.45727339940664
F085,LONG BUKEN,SARAWAK,Sungai Asap,57.28,Sungai Asap,OPEN,57.21571550575472,57.21571550575461,1.1368683772161603e-10,Sungai Asap,57.279720491527584,0.0002795084724169783,-0.06428449424527827,Sungai Asap,57.21571550575472
F086,LONG BALAU,SARAWAK,Long Bedian,49.3,Long Bedian,OPEN,49.24682314526072,49.2468231452609,1.7763568394002505e-10,Long Bedian,49.30191364245935,0.0019136424593497736,-0.053176854739277246,Long Bedian,49.24682314526072
F087,PA LUNGAN,SARAWAK,Bario,10.09,Bario,OPEN,10.081106683928432,10.081106683928576,1.438849039914203e-10,Bario,10.092384024151924,0.00238402415192418,-0.008893316071567625,Bario,10.081106683928432
F088,LONG LUBANG,SARAWAK,Bario,21.26,Bario,OPEN,21.23892111717638,21.238921117176112,2.6645352591003757e-10,Bario,21.262680268519794,0.002680268519792861,-0.021078882823623246,Bario,21.23892111717638
F089,BA' PAKAN,SARAWAK,Long Bedian,31.58,Long Bedian,OPEN,31.548132429655865,31.54813242965613,2.6290081223123707e-10,Long Bedian,31.583424092960087,0.0034240929600883874,-0.0318675703441329,Long Bedian,31.548132429655865
F090,LONG KAWI,SARAWAK,Long Bedian,37.09,Long Bedian,OPEN,37.046924048569764,37.04692404856984,7.815970093361102e-11,Long Bedian,37.08836699524457,0.001633004755433376,-0.043075951430239456,Long Bedian,37.046924048569764
F091,MANDAMOT,SARAWAK,Bario,19.62,Bario,OPEN,19.594872210541677,19.594872210541652,2.4868995751603507e-11,Bario,19.616792228599156,0.0032077714008451608,-0.025127789458323946,Bario,19.594872210541677
F092,LONG SERIDAN,SARAWAK,Long Bedian,42.75,Long Bedian,OPEN,42.70294045502963,42.70294045502985,2.1316282072803006e-10,Long Bedian,42.750710566303106,0.0007105663031055087,-0.047059544970366574,Long Bedian,42.70294045502963
F093,BA LAI,SARAWAK,Long Banga (Long Beruang),14.81,Long Banga (Long Beruang),UNDER RELOCATION,14.796413632339133,14.79641363233896,1.7408297026122455e-10,Long Banga (Long Beruang),14.812965802239443,0.0029658022394425387,-0.013586367660867182,Bario,48.50278115190442
F094,LONG BANGA,SARAWAK,Long Banga (Long Beruang),0.89,Long Banga (Long Beruang),UNDER RELOCATION,0.8886324815568323,0.888632481557024,1.9173551635276453e-10,Long Banga (Long Beruang),0.8896265599992265,0.00037344000077355055,-0.0013675184431677367,Bario,60.0494877537136
F095,APAU NYARING,SARAWAK,Sungai Asap,65.38,Sungai Asap,OPEN,65.30218190720201,65.30218190720205,4.263256414560601e-11,Sungai Asap,65.3752329070361,0.004767092963902542,-0.07781809279798324,Sungai Asap,65.30218190720201
F096,LONG DANO,SARAWAK,Bario,17.7,Bario,OPEN,17.675764421159325,17.675764421159286,3.907985046680551e-11,Bario,17.695537608303802,0.004462391696197443,-0.024235578840674066,Bario,17.675764421159325
F097,DATA BILA (PENAN),SARAWAK,Long Banga (Long Beruang),36.8,Long Banga (Long Beruang),UNDER RELOCATION,36.7549058727229,36.75490587272306,1.5631940186722204e-10,Long Banga (Long Beruang),36.79602215007232,0.0039778499276792445,-0.04509412727709616,Bario,62.60755277751546
F098,PA' BERUNUT,SARAWAK,Ba’kelalan,30.45,Ba’kelalan,OPEN,30.41885025734051,30.41885025734065,1.4210854715202004e-10,Ba’kelalan,30.45287863679447,0.002878636794470424,-0.031149742659490443,Ba’kelalan,30.41885025734051
F099,SG. ADANG,SARAWAK,,,Ba’kelalan,OPEN,35.31022136353593,35.31022136353615,2.2026824808563106e-10,Ba’kelalan,35.349721528762366,,,Ba’kelalan,35.31022136353593
F100,SONSONGAN MAKATOL,SABAH,Kampung Ranau,9.87,Kampung Ranau,OPEN,9.858581063742784,9.858581063742804,1.9539925233402755e-11,Kampung Ranau,9.869609473247936,0.00039052675206363574,-0.011418936257214796,Kampung Ranau,9.858581063742784
F101,PANGARAAN,SABAH,Kampung Lotong,25.45,Kampung Lotong,OPEN,25.420848816311818,25.420848816312006,1.8829382497642655e-10,Kampung Lotong,25.44928612680341,0.0007138731965881107,-0.029151183688181703,Kampung Lotong,25.420848816311818
F102,BUAYAN,SABAH,Pekan Babagon,12.66,Pekan Babagon,OPEN,12.642584424054006,12.642584424053705,3.0020430585864233e-10,Pekan Babagon,12.6567271893594,0.0032728106406008095,-0.017415575945994632,Pekan Babagon,12.642584424054006
F103,KALANGGAAN,SABAH,Pekan Babagon,11.63,Pekan Babagon,OPEN,11.621228707679675,11.621228707679451,2.2382096176443156e-10,Pekan Babagon,11.63422892224506,0.004228922245058442,-0.008771292320325585,Pekan Babagon,11.621228707679675
F104,LONGKOGUNGON,SABAH,Kg. Toboh,14.69,Kg. Toboh,OPEN,14.67283329725111,14.67283329725127,1.5987211554602254e-10,Kg. Toboh,14.689247222658626,0.0007527773413738004,-0.01716670274888976,Kg. Toboh,14.67283329725111
F105,KARAMPALON,SABAH,Kampung Lotong,30.58,Kampung Lotong,OPEN,30.543430901134222,30.543430901134144,7.815970093361102e-11,Kampung Lotong,30.57759864408736,0.0024013559126387918,-0.036569098865776084,Kampung Lotong,30.543430901134222
F106,PANULONGON,SABAH,Kampung Mesilou,11.87,Kampung Mesilou,OPEN,11.859831813540975,11.859831813541138,1.6342482922482304e-10,Kampung Mesilou,11.873098944080112,0.0030989440801132417,-0.010168186459024398,Kampung Mesilou,11.859831813540975
F107,SALILIRAN,SABAH,Kampung Lotong,42.8,Kampung Lotong,OPEN,42.749161082858244,42.74916108285842,1.7763568394002505e-10,Kampung Lotong,42.796982899342396,0.0030171006576011905,-0.05083891714175337,Kampung Lotong,42.749161082858244
